,0,1
Afghanistan,Afghanistan,0
Africa,Africa,1
Albania,Albania,3
Algeria,Algeria,1
American Samoa,American Samoa,1
Andorra,Andorra,3
Angola,Angola,1
Anguilla,Anguilla,1
Antarctica,Antarctica,1
Antigua And Barbuda,Antigua And Barbuda,1
Argentina,Argentina,1
Armenia,Armenia,0
Aruba,Aruba,1
Asia,Asia,0
Australia,Australia,3
Austria,Austria,3
Azerbaijan,Azerbaijan,0
Bahamas,Bahamas,3
Bahrain,Bahrain,0
Baker Island,Baker Island,1
Bangladesh,Bangladesh,3
Barbados,Barbados,1
Belarus,Belarus,3
Belgium,Belgium,3
Belize,Belize,1
Benin,Benin,0
Bhutan,Bhutan,3
Bolivia,Bolivia,1
"Bonaire, Saint Eustatius And Saba","Bonaire, Saint Eustatius And Saba",1
Bosnia And Herzegovina,Bosnia And Herzegovina,3
Botswana,Botswana,1
Brazil,Brazil,1
British Virgin Islands,British Virgin Islands,1
Bulgaria,Bulgaria,3
Burkina Faso,Burkina Faso,0
Burma,Burma,3
Burundi,Burundi,3
Cambodia,Cambodia,1
Cameroon,Cameroon,0
Canada,Canada,4
Cape Verde,Cape Verde,3
Cayman Islands,Cayman Islands,1
Central African Republic,Central African Republic,1
Chad,Chad,1
Chile,Chile,1
China,China,1
Christmas Island,Christmas Island,1
Colombia,Colombia,1
Comoros,Comoros,3
Congo,Congo,1
Congo (Democratic Republic Of The),Congo (Democratic Republic Of The),1
Costa Rica,Costa Rica,1
Croatia,Croatia,3
Cuba,Cuba,1
Curaçao,Curaçao,1
Cyprus,Cyprus,0
Czech Republic,Czech Republic,3
Côte D'Ivoire,Côte D'Ivoire,0
Denmark,Denmark,2
Denmark (Europe),Denmark (Europe),3
Djibouti,Djibouti,3
Dominica,Dominica,1
Dominican Republic,Dominican Republic,1
Ecuador,Ecuador,1
Egypt,Egypt,1
El Salvador,El Salvador,1
Equatorial Guinea,Equatorial Guinea,0
Eritrea,Eritrea,3
Estonia,Estonia,3
Ethiopia,Ethiopia,3
Europe,Europe,3
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),1
Faroe Islands,Faroe Islands,1
Fiji,Fiji,1
Finland,Finland,5
France,France,3
France (Europe),France (Europe),3
French Guiana,French Guiana,1
French Polynesia,French Polynesia,1
Gabon,Gabon,0
Gambia,Gambia,3
Gaza Strip,Gaza Strip,0
Georgia,Georgia,0
Germany,Germany,3
Ghana,Ghana,0
Greece,Greece,3
Greenland,Greenland,2
Grenada,Grenada,1
Guadeloupe,Guadeloupe,1
Guam,Guam,4
Guatemala,Guatemala,1
Guernsey,Guernsey,3
Guinea,Guinea,1
Guinea Bissau,Guinea Bissau,3
Guyana,Guyana,1
Haiti,Haiti,1
Honduras,Honduras,1
Hong Kong,Hong Kong,1
Hungary,Hungary,3
Iceland,Iceland,5
India,India,3
Indonesia,Indonesia,1
Iran,Iran,0
Iraq,Iraq,0
Ireland,Ireland,3
Isle Of Man,Isle Of Man,3
Israel,Israel,0
Italy,Italy,3
Jamaica,Jamaica,1
Japan,Japan,0
Jersey,Jersey,3
Jordan,Jordan,0
Kazakhstan,Kazakhstan,4
Kenya,Kenya,3
Kingman Reef,Kingman Reef,1
Kiribati,Kiribati,1
Kuwait,Kuwait,0
Kyrgyzstan,Kyrgyzstan,4
Laos,Laos,1
Latvia,Latvia,3
Lebanon,Lebanon,0
Lesotho,Lesotho,1
Liberia,Liberia,1
Libya,Libya,0
Liechtenstein,Liechtenstein,3
Lithuania,Lithuania,3
Luxembourg,Luxembourg,3
Macau,Macau,1
Macedonia,Macedonia,3
Madagascar,Madagascar,1
Malawi,Malawi,3
Malaysia,Malaysia,1
Mali,Mali,1
Malta,Malta,0
Martinique,Martinique,1
Mauritania,Mauritania,1
Mauritius,Mauritius,1
Mayotte,Mayotte,3
Mexico,Mexico,1
Moldova,Moldova,3
Monaco,Monaco,3
Mongolia,Mongolia,0
Montenegro,Montenegro,3
Montserrat,Montserrat,1
Morocco,Morocco,3
Mozambique,Mozambique,1
Namibia,Namibia,1
Nepal,Nepal,3
Netherlands,Netherlands,3
Netherlands (Europe),Netherlands (Europe),3
New Caledonia,New Caledonia,0
New Zealand,New Zealand,0
Nicaragua,Nicaragua,1
Niger,Niger,0
Nigeria,Nigeria,0
Niue,Niue,1
North America,North America,0
North Korea,North Korea,3
Norway,Norway,5
Oceania,Oceania,1
Oman,Oman,0
Pakistan,Pakistan,3
Palestina,Palestina,0
Palmyra Atoll,Palmyra Atoll,1
Panama,Panama,1
Papua New Guinea,Papua New Guinea,1
Paraguay,Paraguay,3
Peru,Peru,3
Philippines,Philippines,1
Poland,Poland,3
Portugal,Portugal,3
Puerto Rico,Puerto Rico,1
Qatar,Qatar,0
Reunion,Reunion,1
Romania,Romania,3
Russia,Russia,0
Rwanda,Rwanda,3
Saint Barthélemy,Saint Barthélemy,1
Saint Kitts And Nevis,Saint Kitts And Nevis,1
Saint Lucia,Saint Lucia,1
Saint Martin,Saint Martin,1
Saint Pierre And Miquelon,Saint Pierre And Miquelon,0
Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,1
Samoa,Samoa,1
San Marino,San Marino,3
Sao Tome And Principe,Sao Tome And Principe,0
Saudi Arabia,Saudi Arabia,0
Senegal,Senegal,3
Serbia,Serbia,3
Seychelles,Seychelles,3
Sierra Leone,Sierra Leone,1
Singapore,Singapore,1
Sint Maarten,Sint Maarten,1
Slovakia,Slovakia,3
Slovenia,Slovenia,3
Solomon Islands,Solomon Islands,0
Somalia,Somalia,3
South Africa,South Africa,1
South America,South America,1
South Georgia And The South Sandwich Isla,South Georgia And The South Sandwich Isla,1
South Korea,South Korea,3
Spain,Spain,3
Sri Lanka,Sri Lanka,3
Sudan,Sudan,1
Suriname,Suriname,1
Svalbard And Jan Mayen,Svalbard And Jan Mayen,5
Swaziland,Swaziland,1
Sweden,Sweden,5
Switzerland,Switzerland,3
Syria,Syria,0
Taiwan,Taiwan,1
Tajikistan,Tajikistan,4
Tanzania,Tanzania,3
Thailand,Thailand,1
Timor Leste,Timor Leste,1
Togo,Togo,0
Tonga,Tonga,1
Trinidad And Tobago,Trinidad And Tobago,1
Tunisia,Tunisia,1
Turkey,Turkey,0
Turkmenistan,Turkmenistan,4
Turks And Caicas Islands,Turks And Caicas Islands,3
Uganda,Uganda,3
Ukraine,Ukraine,3
United Arab Emirates,United Arab Emirates,0
United Kingdom,United Kingdom,3
United Kingdom (Europe),United Kingdom (Europe),3
United States,United States,1
Uruguay,Uruguay,3
Uzbekistan,Uzbekistan,4
Venezuela,Venezuela,1
Vietnam,Vietnam,1
Virgin Islands,Virgin Islands,1
Western Sahara,Western Sahara,3
Yemen,Yemen,1
Zambia,Zambia,1
Zimbabwe,Zimbabwe,1
Åland,Åland,5
